id_produto,tipo,temperatura_ar_k,temperatura_processo_k,velocidade_rotacao_rpm,torque_nm,desgaste_ferramenta_min,falha_maquina,potencia_calc
M14860,M,298.1,308.6,1551.0,42.8,0,0,66382.79999999999
L47181,L,298.2,308.7,1408.0,46.3,3,0,65190.399999999994
L47182,L,298.1,308.5,1498.0,49.4,5,0,74001.2
L47183,L,300.1,310.1,1504.0,40.1,7,0,60310.4
L47184,L,298.2,308.7,1408.0,40.0,9,0,56320.0
M14865,M,298.1,308.6,1425.0,41.9,11,0,59707.5
L47186,L,298.1,308.6,1558.0,42.4,14,0,66059.2
L47187,L,298.1,308.6,1527.0,40.2,16,0,61385.4
M14868,M,298.3,308.7,1667.0,28.6,18,0,47676.200000000004
M14869,M,298.5,309.0,1741.0,28.0,21,0,48748.0
H29424,H,298.4,308.9,1782.0,23.9,24,0,42589.799999999996
H29425,H,298.6,309.1,1423.0,44.3,29,0,63038.899999999994
M14872,M,298.6,309.1,1339.0,51.1,34,0,68422.90000000001
M14873,M,298.6,309.2,1742.0,30.0,37,0,52260.0
L47194,L,300.1,310.1,1504.0,40.1,40,0,60310.4
L47195,L,298.6,309.2,1542.0,48.4,42,0,74632.8
M14876,M,298.6,309.2,1311.0,46.6,44,0,61092.6
M14877,M,298.7,309.2,1410.0,45.6,47,0,64296.0
H29432,H,298.8,309.2,1306.0,54.5,50,0,71177.0
M14879,M,298.9,309.3,1632.0,32.5,55,0,53040.0
H29434,H,298.9,309.3,1375.0,42.7,58,0,58712.50000000001
L47201,L,298.8,309.3,1450.0,44.8,63,0,64959.99999999999
M14882,M,298.9,309.3,1581.0,30.7,65,0,48536.7
L47203,L,299.0,309.4,1758.0,25.7,68,0,45180.6
M14884,M,299.0,309.4,1561.0,37.3,70,0,58225.299999999996
L47205,L,299.0,309.5,1861.0,23.3,73,0,43361.3
L47206,L,299.1,309.5,1512.0,39.0,75,0,58968.0
H29441,H,299.1,309.4,1811.0,24.6,77,0,44550.600000000006
L47208,L,299.1,309.4,1439.0,44.2,82,0,63603.8
L47209,L,300.1,310.1,1504.0,40.1,84,0,60310.4
M14890,M,299.1,309.5,1339.0,48.2,86,0,64539.8
L47211,L,300.1,310.1,1504.0,40.1,89,0,60310.4
L47212,L,299.0,309.4,1419.0,48.3,91,0,68537.7
L47213,L,300.1,310.1,1504.0,40.1,93,0,60310.4
M14894,M,298.8,309.1,1559.0,34.7,95,0,54097.3
M14895,M,300.1,310.1,1504.0,40.1,98,0,60310.4
M14896,M,298.9,309.2,1581.0,36.7,101,0,58022.700000000004
L47217,L,298.8,309.1,1439.0,39.2,104,0,56408.8
H29452,H,298.9,309.2,1379.0,50.7,106,0,69915.3
L47219,L,300.1,310.1,1504.0,40.1,111,0,60310.4
L47220,L,298.8,309.1,1362.0,45.4,113,0,61834.799999999996
L47221,L,298.8,309.1,1368.0,50.8,115,0,69494.4
M14902,M,298.8,309.1,1368.0,49.1,117,0,67168.8
H29457,H,298.8,309.2,1372.0,48.5,120,0,66542.0
M14904,M,298.8,309.1,1472.0,47.5,125,0,69920.0
L47225,L,298.8,309.1,1489.0,49.1,128,0,73109.90000000001
M14906,M,298.7,309.0,1843.0,25.8,130,0,47549.4
L47227,L,298.8,309.1,1418.0,46.3,133,0,65653.4
H29462,H,298.8,309.2,1425.0,53.9,135,0,76807.5
M14909,M,298.9,309.2,1412.0,44.1,140,0,62269.200000000004
L47230,L,298.9,309.1,2861.0,4.6,143,1,13160.599999999999
L47231,L,298.9,309.1,1383.0,54.9,145,0,75926.7
H29466,H,298.8,309.0,1497.0,43.8,147,0,65568.59999999999
L47233,L,298.7,309.0,1565.0,35.1,152,0,54931.5
L47234,L,298.7,309.0,1691.0,30.1,154,0,50899.100000000006
L47235,L,298.8,309.1,1512.0,40.7,156,0,61538.4
L47236,L,298.8,309.1,1477.0,42.4,158,0,62624.799999999996
L47237,L,298.8,309.1,1513.0,40.3,160,0,60973.899999999994
M14918,M,298.8,309.0,1661.0,29.5,162,0,48999.5
L47239,L,298.8,309.1,1378.0,54.4,165,0,74963.2
L47240,L,298.8,309.1,1393.0,52.6,167,0,73271.8
M14921,M,298.8,309.0,1592.0,38.2,169,0,60814.4
L47242,L,298.8,309.0,1829.0,22.9,172,0,41884.1
M14923,M,298.9,309.0,1812.0,25.9,174,0,46930.799999999996
L47244,L,299.0,309.1,1523.0,38.6,177,0,58787.8
L47245,L,299.0,309.1,1394.0,45.1,179,0,62869.4
M14926,M,298.9,308.9,1679.0,28.7,181,0,48187.299999999996
H29481,H,298.8,308.9,1466.0,44.1,184,0,64650.6
L47248,L,298.8,308.9,1527.0,32.4,189,0,49474.799999999996
L47249,L,298.9,309.0,1410.0,65.7,191,1,92637.0
M14930,M,298.9,309.0,1924.0,22.6,193,0,43482.4
L47251,L,298.9,309.1,1452.0,45.5,196,0,66066.0
L47252,L,298.9,309.1,1369.0,44.4,198,0,60783.6
L47253,L,299.0,309.1,1592.0,35.0,200,0,55720.0
L47254,L,298.9,309.0,1601.0,32.3,202,0,51712.299999999996
L47255,L,298.8,308.9,1379.0,46.7,204,0,64399.3
L47256,L,300.1,310.1,1504.0,40.1,206,0,60310.4
L47257,L,298.8,308.9,1455.0,41.3,208,1,60091.49999999999
L47258,L,298.8,308.9,1398.0,51.5,0,0,71997.0
L47259,L,298.8,308.9,1402.0,37.9,2,0,53135.799999999996
H29494,H,300.1,310.1,1504.0,40.1,4,0,60310.4
L47261,L,298.9,308.9,1450.0,47.5,9,0,68875.0
L47262,L,298.9,308.9,1453.0,40.8,11,0,59282.399999999994
L47263,L,299.0,309.0,1469.0,40.1,13,0,58906.9
L47264,L,298.9,308.9,1422.0,47.6,15,0,67687.2
M14945,M,299.0,309.0,1804.0,26.8,17,0,48347.200000000004
H29500,H,299.0,309.0,1436.0,43.9,20,0,63040.4
L47267,L,299.0,309.0,1544.0,31.8,25,0,49099.200000000004
M14948,M,300.1,310.1,1504.0,40.1,27,0,60310.4
M14949,M,298.9,308.9,1487.0,39.5,30,0,58736.5
L47270,L,298.9,308.9,1753.0,25.8,33,0,45227.4
L47271,L,298.9,308.9,1830.0,24.9,35,0,45567.0
M14952,M,300.1,310.1,1504.0,40.1,37,0,60310.4
L47273,L,299.1,309.0,1450.0,43.0,40,0,62350.0
L47274,L,299.0,308.9,1622.0,31.9,42,0,51741.799999999996
M14955,M,299.0,309.0,1351.0,52.2,44,0,70522.2
M14956,M,300.1,310.1,1504.0,40.1,47,0,60310.4
M14957,M,298.9,308.9,1750.0,29.9,50,0,52325.0
L47278,L,298.9,308.8,1529.0,32.7,53,0,49998.3
L47279,L,298.8,308.8,1523.0,44.4,55,0,67621.2
L47280,L,298.8,308.9,1852.0,25.0,57,0,46300.0
L47281,L,300.1,310.1,1504.0,40.1,59,0,60310.4
L47282,L,298.8,308.8,1555.0,40.6,61,0,63133.0
M14963,M,298.8,308.8,1441.0,40.5,63,0,58360.5
L47284,L,298.8,308.7,1450.0,43.4,66,0,62930.0
L47285,L,298.8,308.7,1591.0,31.1,68,0,49480.100000000006
L47286,L,300.1,310.1,1504.0,40.1,70,0,60310.4
M14967,M,300.1,310.1,1504.0,40.1,72,0,60310.4
